"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C1696","46~CloneInstance","C463","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\rules\TimeoutRuleTest.java","139","5","150","6","1","1","66","12","1","0"
"C1761","69~CloneInstance","C480","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\runner\FilterOptionIntegrationTest.java","51","5","68","6","1","1","35","18","1","0"
"C1762","70~CloneInstance","C480","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\runner\FilterOptionIntegrationTest.java","70","5","87","6","1","1","35","18","1","0"
"C1685","39~CloneInstance","C458","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\runner\JUnitCommandLineParseResultTest.java","69","5","80","6","1","1","73","12","1","0"
"C1686","40~CloneInstance","C458","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\runner\JUnitCommandLineParseResultTest.java","119","5","130","6","1","1","73","12","1","0"
"C1959","101~CloneInstance","C554","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\org\junit\experimental\theories\Theories.java","88","5","102","6","1","5","16","15","1","0"
"C1960","102~CloneInstance","C554","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\org\junit\experimental\theories\Theories.java","104","5","118","6","1","5","16","15","1","0"
"C1765","72~CloneInstance","C482","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\runner\notification\RunNotifierTest.java","48","5","58","6","1","1","31","11","1","0"
"C1766","73~CloneInstance","C482","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\runner\notification\RunNotifierTest.java","60","5","70","6","1","1","31","11","1","0"
"C1767","74~CloneInstance","C482","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\runner\notification\RunNotifierTest.java","72","5","82","6","1","1","31","11","1","0"
"C1768","75~CloneInstance","C482","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\runner\notification\RunNotifierTest.java","84","5","94","6","1","1","31","11","1","0"
"C1090","7~CloneInstance","C278","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\org\junit\runners\model\FrameworkField.java","23","5","38","6","1","4","3","16","1","0"
"C1091","8~CloneInstance","C278","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\org\junit\runners\model\FrameworkMethod.java","25","5","40","6","1","4","3","16","1","0"
"C2008","110~CloneInstance","C577","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\org\junit\runners\model\TestClass.java","226","5","236","6","1","1","19","11","1","0"
"C2009","111~CloneInstance","C577","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\org\junit\runners\model\TestClass.java","260","5","270","6","1","1","19","11","1","0"
"C1807","80~CloneInstance","C498","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\org\junit\runners\model\TestClass.java","317","9","326","43","1","4","5","10","1","0"
"C1808","81~CloneInstance","C498","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\main\java\org\junit\runners\parameterized\TestWithParameters.java","57","9","66","61","1","4","7","10","1","0"
"C1691","42~CloneInstance","C461","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\samples\money\MoneyTest.java","27","5","36","6","1","1","67","10","1","0"
"C1552","28~CloneInstance","C406","L103","C:\Users\Deyan\Downloads\junit4-r4.13.1\src\test\java\org\junit\samples\money\MoneyTest.java","95","12","104","6","1","1","118","10","1","1"
