"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L19454","validation","org.junit.tests.validation","L14628","L103","0","0","0","0","0","0","0","0","0","0.0384615","5","0","23","0","0.0357143","5","0","24","125","159","0","10","0","0","0","16","0","1","13","0","135","175","0","12","13","0","6","0","0","17","19","0","11","0","0","1","14","0","0","0","67","8","16","0","0","10","5","0","3","0","6","0","0","0","0","0","0","0","0","0","0","0","0"
"L4968","internal","org.junit.experimental.theories.internal","L4937","L103","0.178189","2","16","6","0.0980392","0.0963855","20","16","0.148148","0.0316742","14","4","23","0.148148","0.0316742","14","4","23","428","548","7","7","0","21","0","47","0","0","23","0","428","548","7","7","13","0","6","21","0","47","179","0","6","0","0","0","23","0","0","1","161","13","13","0","0","4","11","0","9","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"L5435","suppliers","org.junit.experimental.theories.suppliers","L4937","L103","0","0","0","0","0","0","0","0","0.666667","0.387755","19","2","1","0.666667","0.387755","19","2","1","30","58","0","1","0","1","0","2","0","0","1","0","30","58","0","1","13","0","2","1","0","2","6","0","1","0","0","0","1","0","0","0","5","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6848","model","org.junit.internal.runners.model","L6418","L103","0","0","0","0","0","0","0","0","0.230769","0.22619","19","3","10","0.230769","0.22619","19","3","10","65","103","3","3","0","0","0","12","0","0","10","0","65","103","3","3","13","0","3","0","0","12","17","0","3","0","0","0","10","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6899","rules","org.junit.internal.runners.rules","L6418","L103","0","0","0","0","0","0","0","0","1","0.280156","72","2","0","1","0.280156","72","2","0","185","295","11","11","0","0","1","23","4","0","11","0","185","295","11","11","13","0","2","0","1","23","45","4","1","0","0","0","11","0","0","0","64","0","4","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7093","statements","org.junit.internal.runners.statements","L6418","L103","0.0323596","1","4","2","0","0","0","0","0.210526","0.173217","119","8","30","0.210526","0.173217","119","8","30","568","777","26","18","0","4","0","54","0","0","39","0","568","777","26","18","20","0","8","4","0","54","222","0","9","0","0","0","39","0","0","10","150","15","28","0","0","16","9","0","10","0","0","0","12","0","0","0","3","0","3","0","0","0","0"
"L15151","max","org.junit.tests.experimental.max","L15016","L103","0.13986","2","4","4","0","0","0","0","0.0192308","0.0144928","6","1","51","0.0192308","0.0144928","6","1","51","408","495","4","16","0","0","0","52","0","0","47","0","408","495","4","16","13","0","4","0","0","52","148","0","11","0","0","0","47","0","0","0","211","18","82","0","0","72","4","0","9","0","11","0","4","0","0","0","0","0","0","0","0","0","0"
"L15310","parallel","org.junit.tests.experimental.parallel","L15016","L103","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","17","131","156","10","6","0","0","0","11","0","0","11","0","131","156","10","6","13","0","3","0","0","11","40","0","6","0","0","0","11","0","0","0","43","2","26","0","0","20","2","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0"
"L15370","results","org.junit.tests.experimental.results","L15016","L103","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","9","89","112","2","4","0","1","0","7","1","0","7","0","89","112","2","4","13","0","3","1","0","7","12","1","3","0","0","0","7","0","0","0","32","0","9","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"L15403","theories","org.junit.tests.experimental.theories","L15016","L103","0.0293482","2","6","6","0","0","0","0","0.0357143","0.0136986","3","1","27","0.00554017","0.00500911","11","2","359","216","281","3","9","0","3","0","25","3","3","23","0","2185","2778","113","115","16","1","33","28","1","291","390","87","108","0","1","3","265","0","0","2","1282","48","262","2","0","132","53","0","36","0","68","0","8","0","0","0","0","0","15","0","0","0","0"
"L17728","classes","org.junit.tests.running.classes","L17715","L103","0.0512784","2","7","5","0","0","0","0","0.00677966","0.00815376","14","2","293","0.00990099","0.00984683","18","3","300","1703","2078","42","98","0","4","1","251","13","1","236","1","1810","2218","44","104","14","0","14","5","1","262","445","15","88","0","1","1","244","1","0","0","984","71","272","3","0","180","78","0","19","0","48","0","9","0","0","0","0","0","9","0","0","0","0"
"L18631","core","org.junit.tests.running.core","L17715","L103","0","0","0","0","0","0","0","0","0.103448","0.0612245","12","3","26","0.103448","0.0612245","12","3","26","184","242","7","14","0","1","0","23","0","0","22","0","184","242","7","14","13","0","5","1","0","23","53","0","11","0","0","0","22","0","0","3","85","13","12","0","0","15","4","0","5","0","1","0","3","0","0","0","0","0","0","0","0","0","0"
"L18759","methods","org.junit.tests.running.methods","L17715","L103","0.0242821","2","7","7","0","0","0","0","0","0.00545331","8","0","285","0","0.00545331","8","0","285","1459","1765","16","85","0","1","0","255","8","0","219","1","1459","1765","16","85","13","0","7","1","0","255","398","8","74","0","0","0","219","1","0","2","977","78","204","0","0","176","27","0","41","0","33","0","6","0","0","0","0","0","1","0","0","0","0"
"L19470","anotherpackage","org.junit.tests.validation.anotherpackage","L19454","L103","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","10","16","0","2","0","0","0","1","0","0","1","0","10","16","0","2","13","0","2","0","0","1","0","0","1","0","0","0","1","0","0","0","8","1","3","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L15443","extendingwithstubs","org.junit.tests.experimental.theories.extendingwithstubs","L15403","L103","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","35","304","386","12","11","0","9","1","45","1","0","33","0","304","386","12","11","14","0","9","9","1","45","86","1","8","0","1","0","33","0","0","0","139","1","21","0","0","2","15","0","1","0","2","0","0","0","0","0","0","0","2","0","0","0","0"
"L15670","internal","org.junit.tests.experimental.theories.internal","L15403","L103","0.11728","1","4","4","0","0","0","0","0","0","0","0","63","0","0","0","0","63","373","477","17","16","0","7","0","52","17","0","49","0","373","477","17","16","14","0","4","7","0","52","79","17","15","0","0","0","49","0","0","1","221","6","59","0","0","35","8","0","2","0","17","0","3","0","0","0","0","0","1","0","0","0","0"
"L15885","runner","org.junit.tests.experimental.theories.runner","L15403","L103","0.0144748","1","2","2","0","0","0","0","0.00425532","0.00615385","8","1","234","0.00425532","0.00615385","8","1","234","1292","1634","81","79","1","9","0","169","66","0","160","0","1292","1634","81","79","14","1","14","9","0","169","180","66","78","0","0","0","160","0","0","1","832","34","161","1","0","83","27","0","26","0","44","0","5","0","0","0","0","0","11","0","0","0","0"
"L18216","parent","org.junit.tests.running.classes.parent","L17728","L103","0","0","0","0","0","0","0","0","0.125","0.036036","4","1","7","0.125","0.036036","4","1","7","107","140","2","6","0","1","0","11","2","0","8","0","107","140","2","6","14","0","2","1","0","11","32","2","3","0","0","0","8","0","0","0","46","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
