"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L3247","void assertEquals(long expected, long actual)","org.junit.Assert.assertEquals(JJ)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","632","5","634","6","0","0","0","0","0","0","0","0","27.6515","5.25","254.268","40.1354","14","11","14.126","48.432","132.796","77.6583","164.111","95.9711","1","0","0","197","1","0.7","7","7","0.7","7","3","3","1","2","3","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3251","void assertEquals(String message, long expected, long actual)","org.junit.Assert.assertEquals(Ljava/lang/String;JJ)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","645","5","649","6","0","0","0","0","0","0","0","0","61.303","15.75","1904.61","153.652","29","18","105.812","120.928","119.532","69.9018","144.275","84.3711","2","1","1","23","1","0.642857","9","9","0.642857","9","5","5","2","3","5","5","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3257","void assertEquals(double expected, double actual)","org.junit.Assert.assertEquals(DD)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","656","5","659","6","0","0","0","0","0","0","0","0","32","6","322.647","47.0419","15","12","17.9248","53.7744","127.591","74.6147","154.21","90.1811","1","0","0","1","1","0.555556","5","5","0.555556","5","4","4","1","2","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3261","void assertEquals(String message, double expected, double actual)","org.junit.Assert.assertEquals(Ljava/lang/String;DD)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","666","5","670","6","0","0","0","0","0","0","0","0","40.139","4.5","256.996","40.422","15","14","14.2776","57.1103","123.663","72.3176","147.266","86.1204","1","0","0","1","1","0.5","5","5","0.5","5","5","5","1","3","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3267","void assertEquals(double expected, double actual, double delta)","org.junit.Assert.assertEquals(DDD)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","684","5","686","6","0","0","0","0","0","0","0","0","31.2611","5.6","341.288","48.8369","17","12","18.9605","60.9444","131.601","76.9595","163.406","95.5591","1","0","0","6","1","0.8","12","12","0.8","12","3","3","1","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3273","void assertEquals(float expected, float actual, float delta)","org.junit.Assert.assertEquals(FFF)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","700","5","702","6","0","0","0","0","0","0","0","0","31.2611","5.6","341.288","48.8369","17","12","18.9605","60.9444","131.601","76.9595","163.406","95.5591","1","0","0","2","1","0.8","12","12","0.8","12","3","3","1","3","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3279","void assertNotNull(String message, Object object)","org.junit.Assert.assertNotNull(Ljava/lang/String;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","712","5","714","6","0","0","0","0","0","0","0","0","36.5293","6.75","374.67","51.9715","15","13","20.815","55.5066","132.087","77.2437","163.412","95.5625","1","0","0","5","1","0.727273","8","8","0.727273","8","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3283","void assertNotNull(Object object)","org.junit.Assert.assertNotNull(Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","722","5","724","6","0","0","0","0","0","0","0","0","24.4064","4.66667","170.526","30.751","11","10","9.47365","36.5412","134.261","78.515","165.777","96.9457","1","0","0","4","1","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3287","void assertNull(String message, Object object)","org.junit.Assert.assertNull(Ljava/lang/String;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","734","5","739","6","0","0","0","0","0","0","0","0","51.0196","10.5","840","89.0266","20","16","46.6667","80","118.727","69.431","141.848","82.9521","2","1","1","4","1","0.571429","8","8","0.571429","8","6","6","3","2","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3293","void assertNull(Object object)","org.junit.Assert.assertNull(Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","747","5","749","6","0","0","0","0","0","0","0","0","24.4064","4.66667","170.526","30.751","11","10","9.47365","36.5412","134.261","78.515","165.777","96.9457","1","0","0","7","1","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
