"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L5484","BlockJUnit4ClassRunner(TestClass testClass)","org.junit.runners.BlockJUnit4ClassRunner.<init>(Lorg/junit/runners/model/TestClass;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","83","5","85","6","0","0","0","0","0","0","0","0","17.5098","4.5","121.5","24.5311","9","8","6.75","27","135.834","79.4352","168.047","98.2732","1","0","0","3","1","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12645","void runChild(FrameworkMethod method, RunNotifier notifier)","org.junit.runners.BlockJUnit4ClassRunner.runChild(Lorg/junit/runners/model/FrameworkMethod;Lorg/junit/runner/notification/RunNotifier;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","91","5","105","6","0","0","0","0","0","0","0","0","103.848","25.2","5093.4","296.032","43","26","282.966","202.119","104.088","60.8702","107.532","62.884","2","1","1","0","4","0.214286","3","3","0.166667","3","11","11","5","2","15","15","6","0","1","7","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"L12653","boolean isIgnored(FrameworkMethod child)","org.junit.runners.BlockJUnit4ClassRunner.isIgnored(Lorg/junit/runners/model/FrameworkMethod;)Z","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","111","5","114","6","0","0","0","0","0","0","0","0","49.6634","6.6","448.8","58.6186","17","16","24.9333","68","126.371","73.9009","151.172","88.4046","1","0","0","1","1","0.5","4","4","0.5","4","4","4","1","1","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12651","Description describeChild(FrameworkMethod method)","org.junit.runners.BlockJUnit4ClassRunner.describeChild(Lorg/junit/runners/model/FrameworkMethod;)Lorg/junit/runner/Description;","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","116","5","127","6","0","0","0","0","0","0","0","0","98.0482","28","6371.37","343.681","49","25","353.965","227.549","105.016","61.4128","76.0086","44.4495","2","1","1","2","5","0","0","0","0","0","10","12","5","1","10","12","5","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12669","List<FrameworkMethod> getChildren()","org.junit.runners.BlockJUnit4ClassRunner.getChildren()Ljava/util/List;","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","129","5","132","6","0","0","0","0","0","0","0","0","28.5293","4.5","149.487","28.1667","10","10","8.30482","33.2193","130.096","76.0794","112.089","65.5494","1","0","0","0","1","0","0","0","0","0","4","4","1","0","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5536","List<FrameworkMethod> computeTestMethods()","org.junit.runners.BlockJUnit4ClassRunner.computeTestMethods()Ljava/util/List;","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","143","5","145","6","0","0","0","0","0","0","0","0","40.0537","5.5","284.934","43.3008","14","13","15.8297","51.8062","132.445","77.4535","163.929","95.8652","1","0","0","3","2","0.727273","8","8","0.727273","8","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5491","void collectInitializationErrors(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.collectInitializationErrors(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","147","5","157","6","0","0","0","0","0","0","0","0","71.4869","38.25","6174.36","336.559","38","19","343.02","161.421","107.031","62.5914","78.8144","46.0903","1","0","0","1","7","0","0","0","0","0","10","11","7","1","10","11","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12677","void validatePublicConstructor(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.validatePublicConstructor(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","159","5","163","6","0","0","0","0","0","0","0","0","66.6034","9.375","1075.26","104.956","27","19","59.7365","114.694","119.807","70.0628","97.3482","56.9288","2","1","1","1","3","0","0","0","0","0","5","5","2","1","5","5","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12679","void validateNoNonStaticInnerClass(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.validateNoNonStaticInnerClass(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","165","5","171","6","0","0","0","0","0","0","0","0","98.0482","14","2405.52","179.531","37","25","133.64","171.823","112.255","65.646","86.452","50.5567","2","1","1","1","3","0","0","0","0","0","7","7","3","1","7","7","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12681","void validateConstructor(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.validateConstructor(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","178","5","181","6","0","0","0","0","0","0","0","0","30.5293","9","467.023","60.1948","15","11","25.9457","51.8915","127.776","74.7231","154.477","90.3375","1","0","0","1","2","0.555556","5","5","0.555556","5","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5515","void validateOnlyOneConstructor(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.validateOnlyOneConstructor(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","187","5","192","6","0","0","0","0","0","0","0","0","83.0586","13.5","1625.46","138.246","27","22","90.3035","120.405","116.601","68.1877","134.242","78.5039","2","1","1","3","1","0.4","4","4","0.4","4","6","6","3","1","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12700","void validateZeroArgConstructor(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.validateZeroArgConstructor(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","198","5","205","6","0","0","0","0","0","0","0","0","127.706","17.5","3950.05","249.882","46","30","219.447","225.717","108.213","63.2823","119.817","70.0684","4","1","1","2","4","0.333333","4","4","0.333333","4","8","8","3","1","8","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12704","boolean hasOneConstructor()","org.junit.runners.BlockJUnit4ClassRunner.hasOneConstructor()Z","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","207","5","209","6","0","0","0","0","0","0","0","0","35.2193","5","286.797","43.4894","16","12","15.9332","57.3594","131.916","77.1438","114.715","67.085","1","0","0","2","2","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12683","void validateInstanceMethods(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.validateInstanceMethods(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","217","5","226","6","0","0","0","0","0","0","0","0","111.89","16.5","3410.82","226.589","43","28","189.49","206.716","107.222","62.7029","120.711","70.591","2","1","1","1","3","0.4","6","6","0.4","6","9","10","5","1","9","10","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12685","void validateFields(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.validateFields(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","228","5","230","6","0","0","0","0","0","0","0","0","37.9742","6.66667","370.044","51.5429","15","13","20.558","55.5066","132.087","77.2437","114.962","67.2291","1","0","0","2","2","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12687","void validateMethods(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.validateMethods(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","232","5","234","6","0","0","0","0","0","0","0","0","37.9742","6.66667","370.044","51.5429","15","13","20.558","55.5066","132.087","77.2437","114.962","67.2291","1","0","0","1","2","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12712","void validateTestMethods(List<Throwable> errors)","org.junit.runners.BlockJUnit4ClassRunner.validateTestMethods(Ljava/util/List;)V","L4181","L103","C:\Users\Deyan\Downloads\junit4-r4.13.2\src\main\java\org\junit\runners\BlockJUnit4ClassRunner.java","240","5","242","6","0","0","0","0","0","0","0","0","36.5293","5.625","291.41","43.9544","14","13","16.1894","51.8062","132.445","77.4535","161.538","94.4666","1","0","0","1","1","0.571429","4","4","0.571429","4","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
